District,Zone,Geographical Region,Development Region,Year BS,Year AD,Number of Voters
Sunsari,Kosi,Terai,Eastern,2057,2000,363185
Sunsari,Kosi,Terai,Eastern,2058,2001,374639
Sunsari,Kosi,Terai,Eastern,2059,2002,381665
Sunsari,Kosi,Terai,Eastern,2060,2003,395620
Sunsari,Kosi,Terai,Eastern,2061,2004,398530
Sunsari,Kosi,Terai,Eastern,2062,2005,403674
Sunsari,Kosi,Terai,Eastern,2063,2006,477973
Solukhumbu,Sagarmatha,Mountain,Eastern,2047,1990,61764
Solukhumbu,Sagarmatha,Mountain,Eastern,2050,1993,65495
Solukhumbu,Sagarmatha,Mountain,Eastern,2056,1999,67455
Solukhumbu,Sagarmatha,Mountain,Eastern,2057,2000,70101
Solukhumbu,Sagarmatha,Mountain,Eastern,2058,2001,70395
Solukhumbu,Sagarmatha,Mountain,Eastern,2059,2002,72125
Solukhumbu,Sagarmatha,Mountain,Eastern,2060,2003,73637
Solukhumbu,Sagarmatha,Mountain,Eastern,2061,2004,74281
Solukhumbu,Sagarmatha,Mountain,Eastern,2062,2005,75015
Solukhumbu,Sagarmatha,Mountain,Eastern,2063,2006,84182
Khotang,Sagarmatha,Hill,Eastern,2047,1990,140132
Khotang,Sagarmatha,Hill,Eastern,2050,1993,147243
Khotang,Sagarmatha,Hill,Eastern,2056,1999,153657
Khotang,Sagarmatha,Hill,Eastern,2057,2000,164259
Khotang,Sagarmatha,Hill,Eastern,2058,2001,164869
Khotang,Sagarmatha,Hill,Eastern,2059,2002,165296
Khotang,Sagarmatha,Hill,Eastern,2060,2003,164392
Khotang,Sagarmatha,Hill,Eastern,2061,2004,164105
Khotang,Sagarmatha,Hill,Eastern,2062,2005,167308
Khotang,Sagarmatha,Hill,Eastern,2063,2006,182794
Okhaldhunga,Sagarmatha,Hill,Eastern,2047,1990,96912
Okhaldhunga,Sagarmatha,Hill,Eastern,2050,1993,105174
Okhaldhunga,Sagarmatha,Hill,Eastern,2056,1999,106431
Okhaldhunga,Sagarmatha,Hill,Eastern,2057,2000,113377
Okhaldhunga,Sagarmatha,Hill,Eastern,2058,2001,115725
Okhaldhunga,Sagarmatha,Hill,Eastern,2059,2002,116255
Okhaldhunga,Sagarmatha,Hill,Eastern,2060,2003,118550
Okhaldhunga,Sagarmatha,Hill,Eastern,2061,2004,119108
Okhaldhunga,Sagarmatha,Hill,Eastern,2062,2005,120957
Okhaldhunga,Sagarmatha,Hill,Eastern,2063,2006,129378
