District,Zone,Geographical Region,Development Region,VDC_Municipality,Ward_Number,Constituency
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,1,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,2,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,3,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,4,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,5,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,6,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,7,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,8,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,9,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,1,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,2,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,3,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,4,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,5,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,6,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,7,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,8,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,9,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,1,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,2,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,3,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,4,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,5,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,6,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,7,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,8,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,9,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,1,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,2,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,3,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,4,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,5,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,6,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,7,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,8,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,9,1
Baglung,Dhawalagiri,Hill,Western,राङखानी,6,2
Baglung,Dhawalagiri,Hill,Western,राङखानी,7,2
Baglung,Dhawalagiri,Hill,Western,राङखानी,8,2
Baglung,Dhawalagiri,Hill,Western,राङखानी,9,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,1,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,2,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,3,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,4,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,5,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,6,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,7,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,8,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,9,2
Baglung,Dhawalagiri,Hill,Western,मल्म,2,2
Baglung,Dhawalagiri,Hill,Western,मल्म,3,2
Baglung,Dhawalagiri,Hill,Western,मल्म,4,2
Baglung,Dhawalagiri,Hill,Western,मल्म,5,2
Baglung,Dhawalagiri,Hill,Western,मल्म,6,2
Baglung,Dhawalagiri,Hill,Western,मल्म,7,2
Baglung,Dhawalagiri,Hill,Western,मल्म,8,2
Baglung,Dhawalagiri,Hill,Western,मल्म,9,2
Baglung,Dhawalagiri,Hill,Western,अमलाचौर,1,2
Gulmi,Lumbini,Hill,Western,वस्तु,1,3
Gulmi,Lumbini,Hill,Western,वस्तु,2,3
Gulmi,Lumbini,Hill,Western,वस्तु,3,3
Gulmi,Lumbini,Hill,Western,वस्तु,4,3
Gulmi,Lumbini,Hill,Western,वस्तु,5,3
Gulmi,Lumbini,Hill,Western,वस्तु,6,3
Gulmi,Lumbini,Hill,Western,वस्तु,7,3
Gulmi,Lumbini,Hill,Western,वस्तु,8,3
Gulmi,Lumbini,Hill,Western,वस्तु,9,3
Gulmi,Lumbini,Hill,Western,भनभने,1,3
Gulmi,Lumbini,Hill,Western,भनभने,2,3
Gulmi,Lumbini,Hill,Western,भनभने,3,3
Gulmi,Lumbini,Hill,Western,भनभने,4,3
Gulmi,Lumbini,Hill,Western,भनभने,5,3
Gulmi,Lumbini,Hill,Western,भनभने,6,3
Gulmi,Lumbini,Hill,Western,भनभने,7,3
Gulmi,Lumbini,Hill,Western,भनभने,8,3
Gulmi,Lumbini,Hill,Western,भनभने,9,3
Gulmi,Lumbini,Hill,Western,धुर्कोटरजस्थल,2,3
Gulmi,Lumbini,Hill,Western,धुर्कोटरजस्थल,3,3
Gulmi,Lumbini,Hill,Western,धुर्कोटरजस्थल,4,3
Gulmi,Lumbini,Hill,Western,धुर्कोटरजस्थल,5,3
Gulmi,Lumbini,Hill,Western,धुर्कोटरजस्थल,6,3
Gulmi,Lumbini,Hill,Western,धुर्कोटरजस्थल,7,3
Gulmi,Lumbini,Hill,Western,धुर्कोटरजस्थल,8,3
Gulmi,Lumbini,Hill,Western,धुर्कोटरजस्थल,9,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,1,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,2,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,3,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,4,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,5,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,6,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,7,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,8,3
Gulmi,Lumbini,Hill,Western,हाडहाडे,9,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,1,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,2,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,3,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,4,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,5,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,6,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,7,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,8,3
Gulmi,Lumbini,Hill,Western,जैसीथोक,9,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,1,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,2,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,3,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,4,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,5,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,6,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,7,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,8,3
Gulmi,Lumbini,Hill,Western,नयाँगाउँ,9,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,1,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,2,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,3,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,4,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,5,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,6,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,7,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,8,3
Gulmi,Lumbini,Hill,Western,पिपलधारा,9,3
Gulmi,Lumbini,Hill,Western,वाग्ला,1,3
Gulmi,Lumbini,Hill,Western,वाग्ला,2,3
Gulmi,Lumbini,Hill,Western,वाग्ला,3,3
Gulmi,Lumbini,Hill,Western,वाग्ला,4,3
Gulmi,Lumbini,Hill,Western,वाग्ला,5,3
Gulmi,Lumbini,Hill,Western,वाग्ला,6,3
Gulmi,Lumbini,Hill,Western,वाग्ला,7,3
Gulmi,Lumbini,Hill,Western,वाग्ला,8,3
Gulmi,Lumbini,Hill,Western,वाग्ला,9,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,1,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,2,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,3,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,4,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,5,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,6,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,7,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,8,3
Gulmi,Lumbini,Hill,Western,अग्लुङ्ग,9,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,1,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,2,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,3,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,4,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,5,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,6,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,7,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,8,3
Gulmi,Lumbini,Hill,Western,अर्खावाङ,9,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,1,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,2,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,3,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,4,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,5,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,6,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,7,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,8,3
Gulmi,Lumbini,Hill,Western,बाँझकटेरी,9,3
Gulmi,Lumbini,Hill,Western,पुर्कोटदह,1,3
Gulmi,Lumbini,Hill,Western,पुर्कोटदह,2,3
Gulmi,Lumbini,Hill,Western,पुर्कोटदह,3,3
Gulmi,Lumbini,Hill,Western,पुर्कोटदह,4,3
Gulmi,Lumbini,Hill,Western,पुर्कोटदह,5,3
Gulmi,Lumbini,Hill,Western,पुर्कोटदह,6,3
Gulmi,Lumbini,Hill,Western,पुर्कोटदह,7,3
Gulmi,Lumbini,Hill,Western,पुर्कोटदह,8,3
Palpa,Lumbini,Hill,Western,वाकामलाङ,7,1
Palpa,Lumbini,Hill,Western,वाकामलाङ,8,1
Palpa,Lumbini,Hill,Western,वाकामलाङ,9,1
Palpa,Lumbini,Hill,Western,गाडाकोट,1,1
Palpa,Lumbini,Hill,Western,गाडाकोट,2,1
Palpa,Lumbini,Hill,Western,गाडाकोट,3,1
Palpa,Lumbini,Hill,Western,गाडाकोट,4,1
Palpa,Lumbini,Hill,Western,गाडाकोट,5,1
Palpa,Lumbini,Hill,Western,गाडाकोट,6,1
Palpa,Lumbini,Hill,Western,कचल,7,3
Palpa,Lumbini,Hill,Western,कचल,8,3
Palpa,Lumbini,Hill,Western,कचल,9,3
Palpa,Lumbini,Hill,Western,मुझुङ,1,3
Palpa,Lumbini,Hill,Western,मुझुङ,2,3
Palpa,Lumbini,Hill,Western,मुझुङ,3,3
Palpa,Lumbini,Hill,Western,मुझुङ,4,3
Palpa,Lumbini,Hill,Western,मुझुङ,5,3
Palpa,Lumbini,Hill,Western,मुझुङ,6,3
Palpa,Lumbini,Hill,Western,मुझुङ,7,3
Palpa,Lumbini,Hill,Western,मुझुङ,8,3
Palpa,Lumbini,Hill,Western,मुझुङ,9,3
Palpa,Lumbini,Hill,Western,ख्याहा,1,3
Palpa,Lumbini,Hill,Western,ख्याहा,2,3
Palpa,Lumbini,Hill,Western,ख्याहा,3,3
Palpa,Lumbini,Hill,Western,ख्याहा,4,3
Palpa,Lumbini,Hill,Western,ख्याहा,5,3
Palpa,Lumbini,Hill,Western,ख्याहा,6,3
Palpa,Lumbini,Hill,Western,ख्याहा,7,3
Palpa,Lumbini,Hill,Western,ख्याहा,8,3
Palpa,Lumbini,Hill,Western,ख्याहा,9,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,1,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,2,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,3,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,4,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,5,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,6,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,7,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,8,3
Palpa,Lumbini,Hill,Western,सिद्धेश्वर,9,3
Palpa,Lumbini,Hill,Western,सोमादी,1,3
Palpa,Lumbini,Hill,Western,सोमादी,2,3
Palpa,Lumbini,Hill,Western,सोमादी,3,3
Palpa,Lumbini,Hill,Western,सोमादी,4,3
Palpa,Lumbini,Hill,Western,सोमादी,5,3
Palpa,Lumbini,Hill,Western,सोमादी,6,3
Palpa,Lumbini,Hill,Western,सोमादी,8,3
Palpa,Lumbini,Hill,Western,सोमादी,9,3
Palpa,Lumbini,Hill,Western,सत्यवती,1,3
Palpa,Lumbini,Hill,Western,सत्यवती,2,3
Palpa,Lumbini,Hill,Western,सत्यवती,3,3
Palpa,Lumbini,Hill,Western,सत्यवती,4,3
Palpa,Lumbini,Hill,Western,सत्यवती,5,3
Palpa,Lumbini,Hill,Western,सत्यवती,6,3
Palpa,Lumbini,Hill,Western,सत्यवती,7,3
Palpa,Lumbini,Hill,Western,सत्यवती,8,3
Palpa,Lumbini,Hill,Western,सत्यवती,9,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,1,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,2,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,3,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,4,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,5,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,6,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,7,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,8,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,9,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,10,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,11,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,12,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,13,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,14,3
Palpa,Lumbini,Hill,Western,तानसेन नगरपालिका,15,3
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,1,1
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,2,1
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,3,1
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,4,1
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,5,1
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,6,1
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,7,1
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,8,1
Parbat,Dhawalagiri,Hill,Western,दुर्लुङ्ग,9,1
Parbat,Dhawalagiri,Hill,Western,चुवा,1,1
Parbat,Dhawalagiri,Hill,Western,चुवा,2,1
Parbat,Dhawalagiri,Hill,Western,चुवा,3,1
Parbat,Dhawalagiri,Hill,Western,चुवा,4,1
Parbat,Dhawalagiri,Hill,Western,चुवा,5,1
Parbat,Dhawalagiri,Hill,Western,चुवा,6,1
Parbat,Dhawalagiri,Hill,Western,चुवा,7,1
Parbat,Dhawalagiri,Hill,Western,चुवा,8,1
Parbat,Dhawalagiri,Hill,Western,चुवा,9,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,1,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,2,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,3,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,4,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,5,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,6,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,7,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,8,1
Parbat,Dhawalagiri,Hill,Western,खुर्कोट,9,1
Parbat,Dhawalagiri,Hill,Western,नाग्लीवाङ्ग,1,1
Parbat,Dhawalagiri,Hill,Western,नाग्लीवाङ्ग,2,1
Parbat,Dhawalagiri,Hill,Western,नाग्लीवाङ्ग,3,1
Parbat,Dhawalagiri,Hill,Western,नाग्लीवाङ्ग,4,1
Rolpa,Rapti,Hill,Mid-Western,हार्जङ,6,1
Rupandehi,Lumbini,Terai,Western,हाटीफर्साटीकर,9,2
Rupandehi,Lumbini,Terai,Western,पश्चिम अमुवा,1,3
Rupandehi,Lumbini,Terai,Western,पश्चिम अमुवा,2,3
Rupandehi,Lumbini,Terai,Western,पश्चिम अमुवा,3,3
Rupandehi,Lumbini,Terai,Western,पश्चिम अमुवा,4,3
Rupandehi,Lumbini,Terai,Western,पश्चिम अमुवा,5,3
Rupandehi,Lumbini,Terai,Western,पश्चिम अमुवा,6,3
Rupandehi,Lumbini,Terai,Western,सौराहा फर्साटिकर,6,3
Rupandehi,Lumbini,Terai,Western,सौराहा फर्साटिकर,7,3
Rupandehi,Lumbini,Terai,Western,सौराहा फर्साटिकर,8,3
Rupandehi,Lumbini,Terai,Western,सौराहा फर्साटिकर,9,3
Rupandehi,Lumbini,Terai,Western,पर्रोहा,1,4
Rupandehi,Lumbini,Terai,Western,पर्रोहा,2,4
Rupandehi,Lumbini,Terai,Western,पर्रोहा,3,4
Rupandehi,Lumbini,Terai,Western,पर्रोहा,4,4
Rupandehi,Lumbini,Terai,Western,पर्रोहा,5,4
Rupandehi,Lumbini,Terai,Western,पर्रोहा,6,4
Rupandehi,Lumbini,Terai,Western,पर्रोहा,7,4
Rupandehi,Lumbini,Terai,Western,पर्रोहा,8,4
Rupandehi,Lumbini,Terai,Western,पर्रोहा,9,4
Rupandehi,Lumbini,Terai,Western,सेमलार,1,3
Rupandehi,Lumbini,Terai,Western,सेमलार,2,3
Rupandehi,Lumbini,Terai,Western,सेमलार,3,3
Rupandehi,Lumbini,Terai,Western,सेमलार,4,3
Rupandehi,Lumbini,Terai,Western,सेमलार,5,3
Rupandehi,Lumbini,Terai,Western,सेमलार,6,3
Rupandehi,Lumbini,Terai,Western,सेमलार,7,3
Rupandehi,Lumbini,Terai,Western,सेमलार,8,3
Rupandehi,Lumbini,Terai,Western,सेमलार,9,3
Rupandehi,Lumbini,Terai,Western,मैनहीया,1,2
Rupandehi,Lumbini,Terai,Western,मैनहीया,2,2
Rupandehi,Lumbini,Terai,Western,मैनहीया,3,2
Rupandehi,Lumbini,Terai,Western,मैनहीया,4,2
Rupandehi,Lumbini,Terai,Western,मैनहीया,5,2
Rupandehi,Lumbini,Terai,Western,मैनहीया,6,2
Rupandehi,Lumbini,Terai,Western,मैनहीया,7,2
Rupandehi,Lumbini,Terai,Western,मैनहीया,8,2
Rupandehi,Lumbini,Terai,Western,मैनहीया,9,2
Rupandehi,Lumbini,Terai,Western,आमा,1,7
Rupandehi,Lumbini,Terai,Western,आमा,2,7
Rupandehi,Lumbini,Terai,Western,आमा,3,7
Rupandehi,Lumbini,Terai,Western,आमा,4,7
Rupandehi,Lumbini,Terai,Western,आमा,5,7
Rupandehi,Lumbini,Terai,Western,आमा,6,7
Rupandehi,Lumbini,Terai,Western,आमा,7,7
Rupandehi,Lumbini,Terai,Western,आमा,8,7
Rupandehi,Lumbini,Terai,Western,आमा,9,7
Rupandehi,Lumbini,Terai,Western,सालझण्डी,1,5
Rupandehi,Lumbini,Terai,Western,सालझण्डी,2,5
Rupandehi,Lumbini,Terai,Western,सालझण्डी,3,5
Rupandehi,Lumbini,Terai,Western,सालझण्डी,4,5
Rupandehi,Lumbini,Terai,Western,सालझण्डी,5,5
Rupandehi,Lumbini,Terai,Western,सालझण्डी,6,5
Rupandehi,Lumbini,Terai,Western,सालझण्डी,7,5
Rupandehi,Lumbini,Terai,Western,सालझण्डी,8,5
Rupandehi,Lumbini,Terai,Western,सिद्धार्थनगर नगरपालिका,13,2
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,1,4
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,2,4
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,3,4
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,4,4
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,5,4
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,6,4
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,7,4
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,8,4
Rupandehi,Lumbini,Terai,Western,बुटवल नगरपालिका,9,4
Syangja,Gandaki,Hill,Western,फेदीखोला,1,1
Syangja,Gandaki,Hill,Western,फेदीखोला,2,1
Syangja,Gandaki,Hill,Western,फेदीखोला,3,1
Syangja,Gandaki,Hill,Western,फेदीखोला,4,1
Syangja,Gandaki,Hill,Western,फेदीखोला,5,1
Syangja,Gandaki,Hill,Western,फेदीखोला,6,1
Syangja,Gandaki,Hill,Western,फेदीखोला,7,1
Syangja,Gandaki,Hill,Western,फेदीखोला,8,1
Syangja,Gandaki,Hill,Western,फेदीखोला,9,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,1,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,2,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,3,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,4,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,5,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,6,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,7,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,8,1
Syangja,Gandaki,Hill,Western,पौवैगौडे,9,1
Syangja,Gandaki,Hill,Western,टक्सार,1,1
Syangja,Gandaki,Hill,Western,टक्सार,2,1
Syangja,Gandaki,Hill,Western,टक्सार,3,1
Syangja,Gandaki,Hill,Western,टक्सार,4,1
Syangja,Gandaki,Hill,Western,टक्सार,5,1
Syangja,Gandaki,Hill,Western,टक्सार,6,1
Syangja,Gandaki,Hill,Western,टक्सार,7,1
Syangja,Gandaki,Hill,Western,टक्सार,8,1
Syangja,Gandaki,Hill,Western,टक्सार,9,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,1,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,2,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,3,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,4,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,5,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,6,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,7,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,8,1
Syangja,Gandaki,Hill,Western,ठुलाडिही,9,1
Syangja,Gandaki,Hill,Western,वहाकोट,1,1
Syangja,Gandaki,Hill,Western,वहाकोट,2,1
Syangja,Gandaki,Hill,Western,वहाकोट,3,1
Syangja,Gandaki,Hill,Western,वहाकोट,4,1
Syangja,Gandaki,Hill,Western,वहाकोट,5,1
Syangja,Gandaki,Hill,Western,वहाकोट,6,1
Syangja,Gandaki,Hill,Western,वहाकोट,7,1
Syangja,Gandaki,Hill,Western,वहाकोट,8,1
Syangja,Gandaki,Hill,Western,वहाकोट,9,1
Syangja,Gandaki,Hill,Western,कोल्मा,1,1
Syangja,Gandaki,Hill,Western,कोल्मा,2,1
Syangja,Gandaki,Hill,Western,कोल्मा,3,1
Syangja,Gandaki,Hill,Western,कोल्मा,4,1
Syangja,Gandaki,Hill,Western,कोल्मा,5,1
Syangja,Gandaki,Hill,Western,कोल्मा,6,1
Syangja,Gandaki,Hill,Western,कोल्मा,7,1
Syangja,Gandaki,Hill,Western,कोल्मा,8,1
Syangja,Gandaki,Hill,Western,कोल्मा,9,1
Syangja,Gandaki,Hill,Western,किचनास,1,1
Syangja,Gandaki,Hill,Western,किचनास,2,1
Syangja,Gandaki,Hill,Western,किचनास,3,1
Syangja,Gandaki,Hill,Western,किचनास,4,1
Syangja,Gandaki,Hill,Western,किचनास,5,1
Syangja,Gandaki,Hill,Western,किचनास,6,1
Syangja,Gandaki,Hill,Western,किचनास,7,1
Syangja,Gandaki,Hill,Western,किचनास,8,1
Syangja,Gandaki,Hill,Western,किचनास,9,1
Syangja,Gandaki,Hill,Western,चिसापानी,1,1
Syangja,Gandaki,Hill,Western,चिसापानी,2,1
Syangja,Gandaki,Hill,Western,चिसापानी,3,1
Syangja,Gandaki,Hill,Western,चिसापानी,4,1
Syangja,Gandaki,Hill,Western,चिसापानी,5,1
Syangja,Gandaki,Hill,Western,चिसापानी,6,1
Syangja,Gandaki,Hill,Western,चिसापानी,7,1
Syangja,Gandaki,Hill,Western,चिसापानी,8,1
Syangja,Gandaki,Hill,Western,चिसापानी,9,1
Syangja,Gandaki,Hill,Western,ओरष्टे,1,1
Syangja,Gandaki,Hill,Western,ओरष्टे,2,1
Syangja,Gandaki,Hill,Western,ओरष्टे,3,1
Syangja,Gandaki,Hill,Western,ओरष्टे,4,1
Syangja,Gandaki,Hill,Western,ओरष्टे,5,1
Syangja,Gandaki,Hill,Western,ओरष्टे,6,1
Syangja,Gandaki,Hill,Western,ओरष्टे,7,1
Syangja,Gandaki,Hill,Western,ओरष्टे,8,1
Syangja,Gandaki,Hill,Western,ओरष्टे,9,1
Syangja,Gandaki,Hill,Western,राङभाङ,1,1
Syangja,Gandaki,Hill,Western,राङभाङ,2,1
Syangja,Gandaki,Hill,Western,राङभाङ,3,1
Syangja,Gandaki,Hill,Western,राङभाङ,4,1
Syangja,Gandaki,Hill,Western,राङभाङ,5,1
Syangja,Gandaki,Hill,Western,राङभाङ,6,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,1,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,2,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,3,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,4,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,5,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,6,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,7,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,8,1
Tanahu,Gandaki,Hill,Western,बन्दिपुर,9,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,1,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,2,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,3,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,4,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,5,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,6,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,7,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,8,1
Tanahu,Gandaki,Hill,Western,छिम्केश्वरी,9,1
Tanahu,Gandaki,Hill,Western,देउराली,1,1
Tanahu,Gandaki,Hill,Western,देउराली,2,1
Tanahu,Gandaki,Hill,Western,देउराली,3,1
Tanahu,Gandaki,Hill,Western,देउराली,4,1
Tanahu,Gandaki,Hill,Western,देउराली,5,1
